dt,open,high,low,close,tv_ss,py_ss,ss_diff,ss_pct,tv_buy,tv_sell,py_buy,py_sell
2026-03-04 18:30:00+00:00,1004.51,1005.0,1003.093,1003.58,,2.3589748934952652,0.0,,0,0,0,0
2026-03-04 18:45:00+00:00,1004.22,1004.6384,1002.0,1002.3221,,12.59791726697458,0.0,,0,0,0,0
2026-03-04 19:00:00+00:00,1003.26,1003.26,1000.77,1002.19,,34.319492844473984,0.0,,0,0,0,0
2026-03-04 19:15:00+00:00,1002.2,1002.2,999.5,1001.13,,66.93713800596069,0.0,,0,0,0,0
2026-03-04 19:30:00+00:00,1000.71,1002.91,1000.51,1002.04,,108.17692640156677,0.0,,0,0,0,0
2026-03-04 19:45:00+00:00,1002.04,1006.9999,1001.7901,1005.8,,155.76289099605873,0.0,,0,0,0,0
2026-03-04 20:00:00+00:00,1006.0,1006.83,1004.59,1004.785,,207.8533900096545,0.0,,0,0,0,0
2026-03-04 20:15:00+00:00,1004.785,1006.855,1003.0101,1006.61,,262.9563214388802,0.0,,0,0,0,0
2026-03-04 20:30:00+00:00,1006.695,1008.3,1005.55,1007.54,,319.8078745457216,0.0,,0,0,0,0
2026-03-04 20:45:00+00:00,1007.6,1008.55,1003.28,1003.28,,377.3177642375559,0.0,,0,0,0,0
2026-03-05 14:30:00+00:00,990.0,993.56,981.96,988.9999,,434.5066025679507,0.0,,0,0,0,0
2026-03-05 14:45:00+00:00,987.74,989.8,982.0,985.685,,490.4866005631833,0.0,,0,0,0,0
2026-03-05 15:00:00+00:00,985.685,991.0324,980.27,988.26,,544.5447056980729,0.0,,0,0,0,0
2026-03-05 15:15:00+00:00,988.815,991.92,984.12,985.07,,596.1785674238946,0.0,,0,0,0,0
2026-03-05 15:30:00+00:00,985.35,985.35,977.79,979.205,,645.0255600559062,0.0,,0,0,0,0
2026-03-05 15:45:00+00:00,979.07,982.82,972.5,972.975,,690.7943999064356,0.0,,0,0,0,0
2026-03-05 16:00:00+00:00,972.975,974.22,968.89,969.6,,733.2576016641422,0.0,,0,0,0,0
2026-03-05 16:15:00+00:00,969.7648,971.83,967.43,970.672,,772.2739567395486,0.0,,0,0,0,0
2026-03-05 16:30:00+00:00,970.85,970.85,965.6,969.21,,807.7982588863596,0.0,,0,0,0,0
2026-03-05 16:45:00+00:00,969.22,975.18,968.76,974.809,,839.876193534247,0.0,,0,0,0,0
2026-03-05 17:00:00+00:00,974.74,975.6799,968.8,969.33,,868.6780621478521,0.0,,0,0,0,0
2026-03-05 17:15:00+00:00,969.38,971.5,968.72,971.26,,893.9813568519745,0.0,,0,0,0,0
2026-03-05 17:30:00+00:00,971.06,973.58,970.225,972.88,,915.7451738748082,0.0,,0,0,0,0
2026-03-05 17:45:00+00:00,972.965,974.07,969.31,970.79,,934.1026231938635,0.0,,0,0,0,0
2026-03-05 18:00:00+00:00,971.045,972.99,970.34,972.36,,949.2223123490952,0.0,,0,0,0,0
2026-03-05 18:15:00+00:00,972.68,972.68,969.43,970.3597,,961.1917135979477,0.0,,0,0,0,0
2026-03-05 18:30:00+00:00,970.43,974.54,969.0,973.82,,970.4181253696557,0.0,,0,0,0,0
2026-03-05 18:45:00+00:00,973.63,975.04,971.33,971.75,,977.2688609807387,0.0,,0,0,0,0
2026-03-05 19:00:00+00:00,972.05,972.05,969.195,971.38,,981.9630704769223,0.0,,0,0,0,0
2026-03-05 19:15:00+00:00,971.615,973.055,970.71,972.395,,985.0111857519095,0.0,,0,0,0,0
