dt,open,high,low,close,tv_ss,py_ss,ss_diff,ss_pct,tv_buy,tv_sell,py_buy,py_sell
2025-04-16 13:30:00+00:00,155.46,158.18,155.02,157.36,154.77029643435657,0.36857893465961683,-154.40171749969696,-99.76185421676443,0,0,0,0
2025-04-16 16:30:00+00:00,157.35,157.66,153.91,154.06,155.38424105142812,1.9648368110624532,-153.41940424036568,-98.73549801590747,0,0,0,0
2025-04-16 19:30:00+00:00,154.08,155.98,154.08,155.55,155.90204428919571,5.343729333062409,-150.5583149561333,-96.57238020359125,0,0,0,0
2025-04-17 13:30:00+00:00,156.61,157.07,150.9,153.81,156.30973789512433,10.40637104754046,-145.90336684758387,-93.34246785409967,0,0,0,0
2025-04-17 16:30:00+00:00,153.78,154.34,152.9,153.255,156.60278611113935,16.791441138303988,-139.81134497283537,-89.27768684371473,0,0,0,0
2025-04-17 19:30:00+00:00,153.25,153.68,152.791,153.305,156.78844752887858,24.137897757442694,-132.6505497714359,-84.60479828847289,0,0,0,0
2025-04-21 13:30:00+00:00,150.965,151.06,148.49,149.01,156.86539814971155,32.14678719328538,-124.71861095642618,-79.50676977047249,0,0,0,0
2025-04-21 16:30:00+00:00,149.01,149.6,148.4,148.96,156.74897326035128,40.56537853387269,-116.18359472647859,-74.12080111906324,0,0,0,0
2025-04-21 19:30:00+00:00,148.96,150.2,148.9501,149.91,156.50457002928806,49.18669456929465,-107.31787545999342,-68.5717199439672,0,1,0,0
2025-04-22 13:30:00+00:00,151.15,154.61,150.87,154.475,156.1982380191802,57.85899970336847,-98.33923831581173,-62.9579690289056,0,0,0,0
2025-04-22 16:30:00+00:00,154.49,154.52,152.07,152.54,155.86888423938012,66.47293341732589,-89.39595082205423,-57.35330130724605,0,0,0,0
2025-04-22 19:30:00+00:00,152.52,154.13,152.42,153.86,155.54518933172602,74.93336912173004,-80.61182020999598,-51.82533806177564,0,0,0,0
2025-04-23 13:30:00+00:00,157.93,160.02,156.35,157.21,155.25441000979836,83.16091468430574,-72.09349532549263,-46.43571497965351,0,0,0,0
2025-04-23 16:30:00+00:00,157.215,158.435,156.99,157.22,155.02455691001046,91.10142067954015,-63.923136230470305,-41.234200248401145,0,0,0,0
2025-04-23 19:30:00+00:00,157.225,158.08,156.76,157.63,154.8798939271506,98.70648926661259,-56.173404660538,-36.269010286745,0,0,0,0
2025-04-24 13:30:00+00:00,158.525,160.99,158.09,160.79,154.80976934202448,105.93127107669378,-48.878498265330705,-31.573264706145522,0,0,0,0
2025-04-24 16:30:00+00:00,160.7699,161.46,160.19,160.48,154.81639997311615,112.74860962991129,-42.06779034320486,-27.172696400710734,0,0,0,0
2025-04-24 19:30:00+00:00,160.4848,161.71,160.43,161.24,154.90737686321475,119.14283837718024,-35.76453848603451,-23.087692277957213,0,0,0,0
2025-04-25 13:30:00+00:00,167.03,168.24,163.65,164.04,155.12248900485358,125.10998236970477,-30.01250663514881,-19.34761801959596,1,0,0,0
2025-04-25 16:30:00+00:00,164.03,165.15,163.0,163.84,155.45609097979752,130.65824958960124,-24.797841390196282,-15.951669203761798,0,0,0,0
2025-04-25 19:30:00+00:00,163.81,164.04,163.55,163.78,155.90992396911338,135.83324336512112,-20.07668060399226,-12.877102427405173,0,0,0,0
2025-04-28 13:30:00+00:00,164.26,164.95,160.59,160.7,156.44274449440672,140.590389236421,-15.852355257985721,-10.133007643925914,0,0,0,0
