dt,open,high,low,close,tv_ss,py_ss,ss_diff,ss_pct,tv_buy,tv_sell,py_buy,py_sell
2024-12-10 14:30:00+00:00,7.12,8.29,7.0328,7.9501,7.069598971995328,0.018229132710897218,-7.051369839284431,-99.74214757041938,0,0,0,0
2024-12-10 18:30:00+00:00,7.95,8.35,7.57,7.6095,7.159322865916796,0.09756863651622266,-7.061754229400573,-98.63718066158582,0,0,0,0
2024-12-11 14:30:00+00:00,7.11,7.38,5.83,6.305,7.23980362717208,0.26323948773511324,-6.976564139436967,-96.36399685279949,0,0,0,0
2024-12-11 18:30:00+00:00,6.305,6.59,6.24,6.395,7.303778893759411,0.5035116628180334,-6.800267230941378,-93.10614860961563,0,0,0,0
2024-12-12 14:30:00+00:00,6.44,7.1,6.35,6.61,7.346755281792737,0.7961281328776895,-6.550627148915047,-89.16354087836963,0,0,0,0
2024-12-12 18:30:00+00:00,6.61,6.63,6.33,6.3501,7.3698870664920015,1.1245907417612735,-6.245296324730728,-84.74073304495603,0,0,0,0
2024-12-13 14:30:00+00:00,6.42,6.84,6.01,6.6271,7.376532798631738,1.477106581231419,-5.899426217400318,-79.97559800038569,0,0,0,0
2024-12-13 18:30:00+00:00,6.64,7.05,6.4,6.7,7.36916931614958,1.8448732000912695,-5.52429611605831,-74.96497744938199,0,0,0,0
2024-12-16 14:30:00+00:00,7.1,12.28,6.83,11.931,7.359191884054996,2.23012156367119,-5.129070320383806,-69.69610795849546,0,1,0,0
2024-12-16 18:30:00+00:00,11.9471,12.24,10.15,11.075,7.397880038160521,2.6490913097997453,-4.7487887283607755,-64.19121023678507,0,0,0,0
2024-12-17 14:30:00+00:00,14.19,17.64,12.6,15.04,7.598818383731567,3.12290932772975,-4.475909056001817,-58.90269815612863,0,0,0,0
2024-12-17 18:30:00+00:00,15.0144,18.0599,15.01,16.7701,8.042406616406678,3.6725520636089257,-4.369854552797753,-54.33516062074203,1,0,0,0
2024-12-18 14:30:00+00:00,19.22,24.48,17.6,23.3648,8.871995767482916,4.31988730219618,-4.552108465286737,-51.308731254931836,0,0,0,0
2024-12-18 18:30:00+00:00,23.36,27.15,20.8,25.6216,10.173631705501434,5.089684290563033,-5.0839474149384,-49.971805173458705,0,0,0,0
2024-12-19 14:30:00+00:00,21.98,22.0,14.55,14.725,11.489346598501122,5.977185916215137,-5.512160682285985,-47.97627641423134,0,0,0,0
2024-12-19 18:30:00+00:00,14.725,15.25,13.5701,15.1396,12.723428075643325,6.921291609265698,-5.802136466377626,-45.60199053181866,0,0,0,0
2024-12-20 14:30:00+00:00,14.47,19.88,13.81,17.31,13.805544427018026,7.856188147340521,-5.949356279677505,-43.09396352406332,0,0,0,0
2024-12-20 18:30:00+00:00,17.3199,18.48,16.2127,17.59,14.724048293890084,8.75881778912445,-5.965230504765634,-40.51352172785915,0,0,0,0
2024-12-23 14:30:00+00:00,19.85,19.95,16.915,18.2558,15.506706974674994,9.632674012756604,-5.87403296191839,-37.88059561267039,0,0,0,0
2024-12-23 18:30:00+00:00,18.26,18.8,17.75,18.2,16.183717071711648,10.482695040863781,-5.7010220308478665,-35.22690124639522,0,0,0,0
2024-12-24 14:30:00+00:00,17.86,18.0,16.31,17.095,16.769043694255554,11.327460356864547,-5.441583337391007,-32.450170901845105,0,0,0,0
2024-12-26 14:30:00+00:00,16.72,19.46,16.22,18.9912,17.262138527505765,12.148464631845194,-5.113673895660572,-29.62364070658084,0,0,0,0
2024-12-26 18:30:00+00:00,19.0,19.45,18.15,19.2322,17.670459045337147,12.940702281687711,-4.729756763649435,-26.766462328535358,0,0,0,0
2024-12-27 14:30:00+00:00,20.23,21.75,17.63,18.335,18.014569513988096,13.707726827295412,-4.3068426866926846,-23.90755262482666,0,0,0,0
2024-12-27 18:30:00+00:00,18.3347,18.76,17.9,18.38,18.3092332657373,14.438887012409111,-3.87034625332819,-21.138767512296116,0,0,0,0
2024-12-30 14:30:00+00:00,17.72,18.7899,16.74,18.295,18.5524191998082,15.119274691573374,-3.4331445082348253,-18.50510421988696,0,0,0,0
2024-12-30 18:30:00+00:00,18.3,18.7,17.98,18.53,18.74024826226755,15.734741108622853,-3.0055071536446967,-16.037712583008403,0,0,0,0
2024-12-31 14:30:00+00:00,18.21,18.34,16.25,16.75,18.87473937190509,16.278046216997673,-2.596693154907417,-13.757504693138042,0,0,0,0
2024-12-31 18:30:00+00:00,16.725,16.89,16.01,16.56,18.95911139866262,16.744340530841868,-2.2147708678207536,-11.68182844253441,0,0,0,0
2025-01-02 14:30:00+00:00,16.69,17.93,15.2,16.87,18.989711594635683,17.127848749947916,-1.8618628446877672,-9.804587265104733,0,0,0,0
2025-01-02 18:30:00+00:00,16.8995,18.77,16.71,18.7401,18.9800389298918,17.44056458441559,-1.5394743454762114,-8.111017849661426,0,0,0,0
2025-01-03 14:30:00+00:00,17.99,19.2,16.98,17.53,18.947909064238516,17.700473685739638,-1.2474353784988779,-6.583498866654552,0,1,0,0
2025-01-03 18:30:00+00:00,17.54,17.98,17.15,17.49,18.900120381266245,17.914314959778878,-0.9858054214873668,-5.215868479147334,0,0,0,0
2025-01-06 14:30:00+00:00,17.3,20.3596,16.66,17.5224,18.83877509640618,18.084249652447575,-0.754525443958606,-4.0051725236772135,0,0,0,0
2025-01-06 18:30:00+00:00,17.5298,18.4,17.38,18.08,18.77373365207709,18.223188533015175,-0.5505451190619155,-2.9325286555399925,0,0,0,0
2025-01-07 14:30:00+00:00,17.97,18.1,16.37,17.345,18.704265349247553,18.330548315087068,-0.3737170341604852,-1.9980310757060515,0,0,0,0
2025-01-07 18:30:00+00:00,17.34,17.72,17.0467,17.53,18.62997085387327,18.409367141488282,-0.22060371238498888,-1.184133427343093,0,0,0,0
2025-01-08 14:30:00+00:00,11.7,12.73,8.5,10.1,18.5116301451363,18.41709270219798,-0.09453744293832145,-0.5106921551323236,0,0,0,0
2025-01-08 18:30:00+00:00,10.11,10.97,9.6,9.905,18.265864767363688,18.27123322643775,0.005368459074063026,0.029390664731379454,0,0,0,1
2025-01-10 14:30:00+00:00,10.27,10.45,9.4,9.5508,17.851861669090205,17.933998232231673,0.08213656314146789,0.46010082681563746,0,0,0,0
2025-01-10 18:30:00+00:00,9.56,9.59,8.8,8.9888,17.287254054427457,17.42604172956215,0.1387876751346937,0.8028323914123806,0,0,0,0
2025-01-13 14:30:00+00:00,8.01,8.58,6.48,6.8784,16.551438675508606,16.72710473352312,0.17566605801451374,1.0613340716686415,0,0,0,0
2025-01-13 18:30:00+00:00,6.87,6.92,6.41,6.51,15.626379319597932,15.820512232156176,0.19413291255824383,1.2423409709168565,0,0,0,0
2025-01-14 14:30:00+00:00,7.15,8.05,6.59,7.105,14.587620766581402,14.786857696633788,0.19923693005238619,1.365794554440403,0,0,0,0
2025-01-14 18:30:00+00:00,7.1047,7.48,7.0,7.425,13.516336610610786,13.711306395298887,0.19496978468810156,1.4424750604024141,0,0,0,0
2025-01-15 14:30:00+00:00,8.76,11.58,8.51,10.23,12.52267807100016,12.709305466120322,0.18662739512016202,1.4903153627525656,0,0,0,0
2025-01-15 18:30:00+00:00,10.23,11.6,10.06,11.55,11.651535681242615,11.82702081906596,0.17548513782334396,1.5061116630818985,0,0,0,0
2025-01-16 14:30:00+00:00,12.35,12.7,10.22,11.3969,10.92864950985732,11.09133719135495,0.1626876814976299,1.4886348157738098,0,0,0,0
2025-01-16 18:30:00+00:00,11.395,11.395,10.75,10.875,10.356431529283926,10.505278840910178,0.14884731162625187,1.4372451669802486,0,0,0,0
2025-01-17 14:30:00+00:00,10.12,10.6,9.8,9.93,9.918761659444195,10.053141114238269,0.13437945479407354,1.354800724202537,0,0,0,0
2025-01-17 18:30:00+00:00,9.9202,10.01,9.46,9.82,9.59685323167366,9.716194317861948,0.11934108618828887,1.2435439336970686,0,0,0,0
2025-01-21 14:30:00+00:00,9.935,11.5,9.8,11.2899,9.356002308182038,9.460537925915258,0.10453561773321951,1.1173107304794134,0,0,0,0
2025-01-21 18:30:00+00:00,11.28,11.5,11.07,11.4701,9.18975028595514,9.280075885369762,0.09032559941462104,0.9828950363609691,0,0,0,0
2025-01-22 14:30:00+00:00,12.075,12.47,10.91,11.37,9.100336155864586,9.177254982185158,0.07691882632057201,0.8452306047068684,0,0,0,0
2025-01-22 18:30:00+00:00,11.38,11.635,11.08,11.12,9.085652366352347,9.150088952221601,0.06443658586925416,0.7092125394087003,0,0,0,0
2025-01-23 14:30:00+00:00,10.72,11.94,10.55,10.92,9.127811409362367,9.180816581361208,0.053005171998840694,0.5806996838746412,0,0,0,0
2025-01-23 18:30:00+00:00,10.92,11.225,10.7107,11.11,9.210219616949075,9.252894859448524,0.042675242499448984,0.46334663313474106,0,0,0,0
2025-01-24 14:30:00+00:00,11.21,12.48,11.09,11.18,9.310382334101574,9.343813220127625,0.03343088602605171,0.359071033029469,0,0,0,0
2025-01-24 18:30:00+00:00,11.18,11.205,10.75,10.95,9.423726344904615,9.448952941480716,0.02522659657610049,0.26769237192186135,0,0,0,0
2025-01-27 14:30:00+00:00,9.96,10.78,9.7,9.725,9.542346095718242,9.560350251603982,0.018004155885739337,0.18867640835012264,0,0,0,0
