ticker,timeframe,bar_close_utc,bar_close_est,signal,close_price,executed_by_bot
AMZN,1H,2026-01-28 20:00 UTC,2026-01-28 15:00 ET,SHORT,243.02,YES
MSFT,1H,2026-01-28 19:00 UTC,2026-01-28 14:00 ET,SHORT,480.575,YES
AAPL,4H,2026-01-26 18:30 UTC,2026-01-26 13:30 ET,LONG,255.63,YES
TSLA,1H,2026-01-23 21:00 UTC,2026-01-23 16:00 ET,SHORT,447.66,YES
AMZN,1H,2026-01-23 17:00 UTC,2026-01-23 12:00 ET,LONG,239.18,YES
MSFT,1H,2026-01-23 15:00 UTC,2026-01-23 10:00 ET,LONG,467.73,YES
TSLA,1H,2026-01-21 21:00 UTC,2026-01-21 16:00 ET,LONG,433.55,YES
NVDA,1H,2026-01-21 19:00 UTC,2026-01-21 14:00 ET,LONG,185.2601,YES
AMZN,1H,2026-01-20 11:00 UTC,2026-01-20 06:00 ET,SHORT,232.51,NO (pre/post market)
NVDA,1H,2026-01-20 10:00 UTC,2026-01-20 05:00 ET,SHORT,181.3,NO (pre/post market)
