time,open,high,low,close,SS Line,SS Shifted,Ride Line,BUY,SELL
1733841000,7.12,8.29,7.0328,7.9501,7.069598971995328,6.868380473863688,6.599662343724054,0,0
1733855400,7.95,8.35,7.57,7.6095,7.159322865916796,6.972300795312582,6.695095996807756,0,0
1733927400,7.11,7.38,5.83,6.305,7.23980362717208,7.069598971995328,6.745182248713686,0,0
1733941800,6.305,6.59,6.24,6.395,7.303778893759411,7.159322865916796,6.8319876137623305,0,0
1734013800,6.44,7.1,6.35,6.61,7.346755281792737,7.23980362717208,6.881877664652591,0,0
1734028200,6.61,6.63,6.33,6.3501,7.3698870664920015,7.303778893759411,6.927500707719009,0,0
1734100200,6.42,6.84,6.01,6.6271,7.376532798631738,7.346755281792737,6.93610260834253,0,0
1734114600,6.64,7.05,6.4,6.7,7.36916931614958,7.3698870664920015,6.936984139452458,0,0
1734359400,7.1,12.28,6.83,11.931,7.359191884054996,7.376532798631738,7.959792405273752,0,1
1734373800,11.9471,12.24,10.15,11.075,7.397880038160521,7.36916931614958,7.959792405273752,0,0
1734445800,14.19,17.64,12.6,15.04,7.598818383731567,7.359191884054996,7.959792405273752,0,0
1734460200,15.0144,18.0599,15.01,16.7701,8.042406616406678,7.397880038160521,7.170529960022711,1,0
1734532200,19.22,24.48,17.6,23.3648,8.871995767482916,7.598818383731567,7.787042443697804,0,0
1734546600,23.36,27.15,20.8,25.6216,10.173631705501434,8.042406616406678,8.939389333415258,0,0
1734618600,21.98,22,14.55,14.725,11.489346598501122,8.871995767482916,9.947850110135388,0,0
1734633000,14.725,15.25,13.5701,15.1396,12.723428075643323,10.173631705501434,11.232042050732284,0,0
1734705000,14.47,19.88,13.81,17.31,13.805544427018026,11.489346598501122,12.203900261029204,0,0
1734719400,17.3199,18.48,16.2127,17.59,14.724048293890084,12.723428075643323,13.15583228261475,0,0
1734964200,19.85,19.95,16.915,18.2558,15.506706974674994,13.805544427018026,13.942113535633613,0,0
1734978600,18.26,18.8,17.75,18.2,16.183717071711648,14.724048293890084,14.693380306887507,0,0
1735050600,17.86,18,16.31,17.095,16.769043694255554,15.506706974674994,15.31765955549028,0,0
1735223400,16.72,19.46,16.22,18.9912,17.262138527505765,16.183717071711648,15.798710398652297,0,0
1735237800,19,19.45,18.15,19.2322,17.670459045337147,16.769043694255554,16.265132925687496,0,0
1735309800,20.23,21.75,17.63,18.335,18.014569513988096,17.262138527505765,16.562480974313424,0,0
1735324200,18.3347,18.76,17.9,18.38,18.3092332657373,17.670459045337147,16.930151050325104,0,0
1735569000,17.72,18.7899,16.74,18.295,18.5524191998082,18.014569513988096,17.19863214263973,0,0
1735583400,18.3,18.7,17.98,18.53,18.74024826226755,18.3092332657373,17.457445994896826,0,0
1735655400,18.21,18.34,16.25,16.75,18.874739371905086,18.5524191998082,17.602137266489414,0,0
1735669800,16.725,16.89,16.01,16.56,18.95911139866262,18.74024826226755,17.745980872205212,0,0
1735828200,16.69,17.93,15.2,16.87,18.989711594635683,18.874739371905086,17.765733248639517,0,0
1735842600,16.8995,18.77,16.71,18.7401,18.980038929891798,18.95911139866262,17.769916180038216,0,0
1735914600,17.99,19.2,16.98,17.53,18.947909064238516,18.989711594635683,20.150880189102555,0,1
1735929000,17.54,17.98,17.15,17.49,18.900120381266245,18.980038929891798,20.04680785435428,0,0
1736173800,17.3,20.3596,16.66,17.5224,18.83877509640618,18.947909064238516,20.035684892845072,0,0
1736188200,17.5298,18.4,17.38,18.08,18.77373365207709,18.900120381266245,19.92157846305606,0,0
1736260200,17.97,18.1,16.37,17.345,18.704265349247553,18.83877509640618,19.83190695944231,0,0
1736274600,17.34,17.72,17.0467,17.53,18.62997085387327,18.77373365207709,19.701113063339832,0,0
1736346600,11.7,12.73,8.5,10.1,18.5116301451363,18.704265349247553,19.701113063339832,0,0
1736361000,10.11,10.97,9.6,9.905,18.265864767363688,18.62997085387327,19.537844529607813,0,0
1736519400,10.27,10.45,9.4,9.5508,17.851861669090205,18.5116301451363,19.07048573403118,0,0
1736533800,9.56,9.59,8.8,8.9888,17.287254054427457,18.265864767363688,18.447047829015506,0,0
1736778600,8.01,8.58,6.48,6.8784,16.551438675508606,17.851861669090205,17.71799003762608,0,0
1736793000,6.87,6.92,6.41,6.51,15.626379319597932,17.287254054427457,16.727819870135587,0,0
1736865000,7.15,8.05,6.59,7.105,14.587620766581402,16.551438675508606,15.665386992080652,0,0
1736879400,7.1047,7.48,7,7.425,13.516336610610786,15.626379319597932,14.534262391431518,0,0
1736951400,8.76,11.58,8.51,10.23,12.522678071000161,14.587620766581402,13.616287724619411,0,0
1736965800,10.23,11.6,10.06,11.55,11.651535681242617,13.516336610610786,12.72203035960335,0,0
1737037800,12.35,12.7,10.22,11.3969,10.92864950985732,12.522678071000161,12.011251711192287,0,0
1737052200,11.395,11.395,10.75,10.875,10.356431529283926,11.651535681242617,11.38480857338068,0,0
1737124200,10.12,10.6,9.8,9.93,9.918761659444195,10.92864950985732,10.912076057534039,0,0
1737138600,9.9202,10.01,9.46,9.82,9.596853231673661,10.356431529283926,10.538859458471373,0,0
1737469800,9.935,11.5,9.8,11.2899,9.356002308182038,9.918761659444195,10.291436661637055,0,0
1737484200,11.28,11.5,11.07,11.4701,9.18975028595514,9.596853231673661,10.0737250427348,0,0
1737556200,12.075,12.47,10.91,11.37,9.100336155864586,9.356002308182038,9.97688414430284,0,0
1737570600,11.38,11.635,11.08,11.12,9.085652366352349,9.18975028595514,9.9194112127593,0,0
1737642600,10.72,11.94,10.55,10.92,9.127811409362367,9.100336155864586,9.9194112127593,0,0
1737657000,10.92,11.225,10.7107,11.11,9.210219616949077,9.085652366352349,9.9194112127593,0,0
1737729000,11.21,12.48,11.09,11.18,9.310382334101574,9.127811409362367,9.9194112127593,0,0
1737743400,11.18,11.205,10.75,10.95,9.423726344904617,9.210219616949077,9.9194112127593,0,0
1737988200,9.96,10.78,9.7,9.725,9.542346095718242,9.310382334101574,9.9194112127593,0,0
1738002600,9.725,9.97,9.49,9.9425,9.65541655821772,9.423726344904617,9.9194112127593,0,0
1738074600,10.22,10.36,9.26,9.9,9.75383223037625,9.542346095718242,9.9194112127593,0,0
1738089000,9.9088,10.3,9.805,10.295,9.834488703969676,9.65541655821772,9.9194112127593,0,0
1738161000,10,10.39,9.72,10.07,9.901913423678991,9.75383223037625,9.9194112127593,0,0
1738175400,10.08,10.45,9.85,10.13,9.959630898467507,9.834488703969676,9.9194112127593,0,0
1738247400,10.16,10.66,9.79,9.79,10.010137910800754,9.901913423678991,9.9194112127593,0,0
1738261800,9.8,10.1108,9.8,9.995,10.053020171972063,9.959630898467507,9.9194112127593,0,0
1738333800,10.01,11.45,9.95,11.27,10.09057458123648,10.010137910800754,9.9194112127593,0,0
