time,open,high,low,close,SS Line,SS Shifted,Ride Line,BUY,SELL
1734381000,144.44,144.45,143.52,143.85,146.63660737860593,147.05623499689915,147.19934088599703,0,0
1734445800,143.84,146.235,143.71,145.29,146.4183629820438,146.84852397941967,147.03107981033554,0,0
1734456600,145.28,145.98,145.08,145.74,146.2037778793653,146.63660737860593,146.80487207706477,0,0
1734467400,145.745,146.66,145.67,146.39,146.01233043471217,146.4183629820438,146.6058464754331,0,0
1734532200,145.678,146.74,145.329,146.095,145.8585760589691,146.2037778793653,146.46009095392427,0,0
1734543000,146.095,146.14,144.79,145.64,145.74324712552092,146.01233043471217,146.3500109565507,0,0
1734553800,145.64,145.9099,144.67,144.73,145.6532170846927,145.8585760589691,146.26092278493465,0,0
1734618600,144.14,145.22,143.6,144.285,145.57113544864484,145.74324712552092,146.19329074172666,0,0
1734629400,144.285,144.83,143.47,143.5,145.4797186819296,145.6532170846927,146.10600573979127,0,0
1734640200,143.5,143.94,143.37,143.55,145.37241497805692,145.57113544864484,145.9743243889285,0,0
1734705000,143.05,145.41,142.75,145.17,145.25553733522537,145.4797186819296,145.90945321674897,0,0
1734715800,145.166,145.47,144.24,144.6296,145.1393070920942,145.37241497805692,145.7904432677947,0,0
1734726600,144.64,144.85,144.15,144.44,145.03220856869333,145.25553733522537,145.66183501755808,0,0
1734964200,144.27,144.845,143.45,143.625,144.935050471605,145.1393070920942,145.5695250312651,0,0
1734975000,143.62,144.88,143.57,144.72,144.84422794398017,145.03220856869333,145.4801686065217,0,0
1734985800,144.73,145.33,144.67,145.19,144.76137632622311,144.935050471605,145.3754640842974,0,0
1735050600,145,145.505,144.3325,145.41,144.6924640637111,144.84422794398017,145.30456341049435,0,0
1735061400,145.42,145.8,145.174,145.72,144.64192860001748,144.76137632622311,145.2326637077448,0,0
1735223400,145.51,146.37,145.37,145.76,144.6115657148183,144.6924640637111,145.19581974342225,0,0
1735234200,145.75,145.87,145.21,145.35,144.6024956551038,144.64192860001748,145.1685886816646,0,0
1735245000,145.355,145.78,145.09,145.55,144.6140327667431,144.6115657148183,145.16433343426382,0,0
1735309800,144.87,146.6,144.68,145,144.6377482391435,144.6024956551038,145.16433343426382,0,0
