time,open,high,low,close,SS Line,SS Shifted,Ride Line,BUY,SELL
1753104600,159.16,164.2,158.1891,163.44,153.4327015525899,151.6875585444016,151.88857229310494,0,0
1753111800,163.45,163.98,161.35,163.8044,154.3818012607472,152.54276302649788,152.85403837693977,0,0
1753119000,163.77,164.58,163.145,163.4,155.42570059386168,153.4327015525899,153.9558136303262,0,0
1753126200,163.355,163.49,161.83,161.89,156.50831920354284,154.3818012607472,155.08413845168846,0,0
1753191000,161,162.1318,153.24,154.59,157.4995340058096,155.42570059386168,155.85951616480196,0,0
1753198200,154.645,156.19,154.59,156.0416,158.33747312539214,156.50831920354284,156.75745655874218,0,0
1753205400,156.04,156.96,155.2379,156.79,158.97611466541875,157.4995340058096,157.4474528535295,0,0
1753212600,156.75,156.9999,156.32,156.49,159.42037480635878,158.33747312539214,157.97662098103305,0,0
1753277400,156.96,158.39,155.714164,157.43,159.72163253828091,158.97611466541875,158.28543841476417,0,0
1753284600,157.455,158.13,156.58,156.63,159.91096126341344,159.42037480635878,158.52199529157647,0,0
1753291800,156.58,159.7499,156.51,158.99,160.01802039954052,159.72163253828091,158.61255556854906,0,0
1753299000,158.98,159.4,158.8401,159.28,160.06682353571256,159.91096126341344,158.74175262122048,0,0
1753363800,159.94,161.49,157.9,160.7362,160.08748105624142,160.01802039954052,158.74175262122048,0,0
1753371000,160.655,161.75,160.075,161.07,160.0994421847853,160.06682353571256,158.77802899830996,0,0
1753378200,161.095,161.34,159.42,160.56,160.1158952666059,160.08748105624142,158.82029730773596,0,0
1753385400,160.565,160.8,159.84,159.9699,160.1381721488883,160.0994421847853,158.90083118708048,0,0
1753450200,160,163.72,159.14,163.17,160.16641387810117,160.1158952666059,158.90083118708048,0,0
1753457400,163.245,164.42,162.9,163.96,160.21515631541635,160.1381721488883,158.9420919146739,0,0
1753464600,164.05,164.58,163.5,163.8,160.30832871941257,160.16641387810117,159.0876260615803,0,0
1753471800,163.8,164.48,163.07,163.145,160.4550538629365,160.21515631541635,159.27118710923511,0,0
1753709400,165.02,166.88,162.0368,164,160.63505038380345,160.30832871941257,159.3627741125093,0,0
1753716600,164.03,164.3299,163.08,163.34,160.83541117612407,160.4550538629365,159.60937249563665,0,0
1753723800,163.46,164.75,163.31,164.285,161.0490442787612,160.63505038380345,159.85915121830857,0,0
1753731000,164.4599,164.63,163.3,164.37,161.27311302658723,160.83541117612407,160.12071232759553,0,0
1753795800,164,166.2475,161.72,162.1,161.52860662141217,161.0490442787612,160.2968238294913,0,0
1753803000,162.05,164.29,160.78,164.125,161.7951667876899,161.27311302658723,160.5260113380491,0,0
1753810200,164.095,165.04,163.6901,164.33,162.05663127262775,161.52860662141217,160.82991906938986,0,0
1753817400,164.35,164.4285,163.33,163.33,162.30844223164283,161.7951667876899,161.13012018577908,0,0
1753882200,162.32,165.25,161.5,163.495,162.5460757444357,162.05663127262775,161.3179909875622,0,0
1753889400,163.49,164.4,163.16,163.8172,162.76281475873688,162.30844223164283,161.57816462735437,0,0
1753896600,163.79,164.75,161.36,162.32,162.95265619872922,162.5460757444357,161.73155250530257,0,0
1753903800,162.33,163.74,162.26,163.23,163.11078994409837,162.76281475873688,161.92405080020222,0,0
1753968600,148.35,149,140,143.655,163.1252761578681,162.95265619872922,161.92405080020222,0,0
1753975800,143.65,144.86,141.3,141.67,162.71440361907207,163.11078994409837,164.63518890130908,0,1
1753983000,141.69,142.63,139.11,140.71,161.7199429110894,163.1252761578681,163.62924353030945,0,0
1753990200,140.73,141.95,140.5,141.375,160.20445272640765,162.71440361907207,162.02916044425484,0,0
1754055000,137.995,140.06,135.25,136.64,158.13185484082155,161.7199429110894,160.04497629310822,0,0
1754062200,136.62,139.94,136.5,137.575,155.59913182457498,160.20445272640765,157.49845888741262,0,0
1754069400,137.61,138.04,136.42,137.05,152.83821062741563,158.13185484082155,154.6597286143363,0,0
1754076600,137.0792,137.98,136.8,137.54,150.0533793429738,155.59913182457498,151.78693175940015,0,0
1754314200,140.1,140.6098,138.25,139.81,147.46476350801885,152.83821062741563,149.18412646612902,0,0
1754321400,139.74,140.09,138.38,139.38,145.19243286079023,150.0533793429738,146.8500556076068,0,0
1754328600,139.355,140,139.005,139.88,143.2866667765062,147.46476350801885,144.86142361283586,0,0
1754335800,139.84,140.07,139.34,140.04,141.74612086896207,145.19243286079023,143.23446650269676,0,0
1754400600,140.5,140.88,135.21,136.03,140.53453117258465,143.2866667765062,142.11906640390973,0,0
1754407800,136,138.3596,135.68,138.27,139.57051641829014,141.74612086896207,141.13757056166344,0,0
1754415000,138.325,138.89,137.21,137.82,138.79629690459672,140.53453117258465,140.31141860915764,0,0
1754422200,137.835,137.9225,137.13,137.13,138.18907110583444,139.57051641829014,139.62427340292672,0,0
1754487000,137.41,137.8,135.01,135.755,137.71821724360694,138.79629690459672,139.15054794804976,0,0
1754494200,135.755,136.49,135.1,135.84,137.3340463843622,138.18907110583444,138.71371060991626,0,0
1754501400,135.85,136.1,135.41,135.98,136.99672385405054,137.71821724360694,138.30248349206502,0,0
1754508600,135.95,136.2415,135.57,136.12,136.69737041625342,137.3340463843622,137.9338436515526,0,0
1754573400,137.77,139.68,136.62,136.935,136.44710168637977,136.99672385405054,137.7223982620147,0,0
1754580600,136.9155,137.73,134.65,134.9412,136.2535394671035,136.69737041625342,137.5477434301931,0,0
1754587800,134.9405,135.7,134.61,135.45,136.10158847590873,136.44710168637977,137.3422778702062,0,0
1754595000,135.4,135.81,135.19,135.58,135.97221084864475,136.2535394671035,137.14642242906382,0,0
1754659800,136.49,138.79,135.36,138.265,135.86086960921648,136.10158847590873,137.07370893389134,0,0
1754667000,138.19,139.44,137.28,138.79,135.78104268887657,135.97221084864475,136.98439349036036,0,0
1754674200,138.78,139.45,138.3,138.48,135.7497185884895,135.86086960921648,136.9081871898673,0,0
1754681400,138.43,138.6,138.02,138.47,135.7675095687979,135.78104268887657,136.8639446986487,0,0
1754919000,139.52,146.43,139.25,142.755,135.84759262566814,135.7497185884895,136.8639446986487,0,0
1754926200,142.755,143.77,141.5606,141.715,136.00660129572105,135.7675095687979,134.7183189643701,1,0
1754933400,141.7,142.0687,140.55,141.71,136.2364708789569,135.84759262566814,134.98596942841672,0,0
1754940600,141.725,141.790704,140.89,140.97,136.51973522490417,136.00660129572105,135.32638730654543,0,0
1755005400,142.91,143.1,140.42,142.115,136.85493874988907,136.2364708789569,135.65111568284166,0,0
1755012600,142.1886,142.66,141.15,141.38,137.22157952855798,136.51973522490417,136.04981525201396,0,0
1755019800,141.42,142.15,140.96,142.06,137.60852204692134,136.85493874988907,136.47795521870188,0,0
1755027000,142.0899,142.63,142.06,142.39,138.0118052703324,137.22157952855798,136.94163607270005,0,0
1755091800,143.45,145.2,141.8,142.27,138.4400911950127,137.60852204692134,137.32493408292555,0,0
1755099000,142.4695,142.72,141.68,142.4375,138.8832739351468,138.0118052703324,137.81062804535156,0,0
1755106200,142.435,142.77,141.61,142.32,139.32636796737546,138.4400911950127,138.28891106970846,0,0
1755113400,142.3402,142.36,141.39,141.58,139.74769230944975,138.8832739351468,138.74969661875895,0,0
1755178200,139.83,140.52,138.27,138.93,140.12600193473784,139.32636796737546,139.08107736481068,0,0
1755185400,138.87,140.55,138.66,140.026,140.43821517451556,139.74769230944975,139.4004280738689,0,0
1755192600,140.05,140.25,139.43,139.569,140.67213383160373,140.12600193473784,139.67918866671755,0,0
1755199800,139.54,140.68,139.44,140.6,140.83784118588147,140.43821517451556,139.8715349613443,0,0
1755264600,140.55,141.78,139.0319,139.35,140.95662744415208,140.67213383160373,139.9611966642247,0,0
1755271800,139.36,139.78,137.77,138.23,141.0400350908592,140.83784118588147,140.04392079521236,0,0
1755279000,138.255,139.63,138.2,139,141.0848748001094,140.95662744415208,140.10884009700877,0,0
1755286200,139.015,139.46,138.81,138.87,141.0886485639127,141.0400350908592,140.15911633960496,0,0
1755523800,137.91,140.3,137.5295,139.485,141.03937027438565,141.0848748001094,140.15911633960496,0,0
1755531000,139.5288,141.2,139.47,141.0792,140.9678104998239,141.0886485639127,140.15911633960496,0,0
1755538200,141.08,141.5102,140.6,140.9,140.89376670303733,141.03937027438565,140.15911633960496,0,0
1755545400,140.885,141.2399,140.65,141.06,140.82923588088025,140.9678104998239,140.15911633960496,0,0
1755610200,140.93,142.8,136.11,136.855,140.77285543056996,140.89376670303733,140.15911633960496,0,0
1755617400,136.8731,136.92,134.1,135.35,140.6854624226356,140.82923588088025,140.15911633960496,0,0
1755624600,135.31,135.65,134.11,134.33,140.50996709398908,140.77285543056996,140.15911633960496,0,0
1755631800,134.34,134.58,133.7,134.01,140.20465478131487,140.6854624226356,141.21569790427264,0,1
1755696600,132.7,133.13,127.03,129.79,139.68044740212997,140.50996709398908,140.86855887344788,0,0
1755703800,129.79,130.79,129.0216,130.33,138.9541474920262,140.20465478131487,140.12055100110715,0,0
1755711000,130.2784,130.7799,128.75,130.18,138.0514741630262,139.68044740212997,139.20705956431564,0,0
1755718200,130.17,131.32,130.06,131.095,137.08577148865223,138.9541474920262,138.20381507556385,0,0
1755783000,130.8,133.63,130.21,132.62,136.1588301292841,138.0514741630262,137.3191563171306,0,0
1755790200,132.61,133.31,131.24,131.9,135.30665002550336,137.08577148865223,136.4580243427894,0,0
1755797400,131.88,133.33,131.88,133.12,134.55625257317132,136.1588301292841,135.67717158207978,0,0
1755804600,133.12,133.4193,132.75,133.29,133.9171440430291,135.30665002550336,134.98190097987268,0,0
1755869400,133,140.35,132.68,139.425,133.38658669623473,134.55625257317132,134.6492181375895,0,0
1755876600,139.35,140.0595,138.15,139.33,132.98193194897934,133.9171440430291,134.22257185880875,0,0
1755883800,139.33,139.41,138.2,138.3,132.71635763239118,133.38658669623473,133.91159469151847,0,0
1755891000,138.34,138.5,137.82,137.93,132.58604679639308,132.98193194897934,133.72019549415415,0,0
1756128600,138.295,139,136,138.07,132.56985445023037,132.71635763239118,133.72019549415415,0,0
1756135800,138.07,138.3,137.5,137.96,132.64876154108003,132.58604679639308,131.5427863884187,1,0
1756143000,137.97,138.2978,137.44,137.57,132.80474047792907,132.56985445023037,131.74712783617213,0,0
1756150200,137.57,138.15,137.5001,137.788,133.02067618832575,132.64876154108003,132.0153965924086,0,0
1756215000,138.34,141.41,137.85,139.91,133.27946259769965,132.80474047792907,132.216631544348,0,0
1756222200,139.91,140.47,139.58,140.315,133.60761710654765,133.02067618832575,132.58891684272112,0,0
1756229400,140.32,140.7,139.58,140.445,134.00752781649993,133.27946259769965,133.02159185723244,0,0
1756236600,140.49,140.62,140.06,140.3,134.47545848304247,133.60761710654765,133.5399465208655,0,0
1756301400,140.32,140.5,138.83,139.62,135.07697201758066,134.00752781649993,134.14863948127348,0,0
1756308600,139.64,141.25,139.6388,141.24,135.75358585679055,134.47545848304247,134.83334850164817,0,0
1756315800,141.29,141.96,140.3,140.765,136.47191590213407,135.07697201758066,135.558124072359,0,0
1756323000,140.74,141.28,140.59,140.64,137.1852185012843,135.75358585679055,136.3120546593503,0,0
1756387800,140.9,142.81,139.7574,141.87,137.87381547376995,136.47191590213407,136.95399904911696,0,0
1756395000,141.93,143.7996,141.93,142.71,138.53999700912715,137.1852185012843,137.61696747194938,0,0
1756402200,142.75,143.32,142.37,142.72,139.18764284289864,137.87381547376995,138.29661541551928,0,0
